path,category,experiment_name,objective,likely_generated_by,main_outputs,paper_role,key_result,interpretation,notes
opt_summary_local.csv,production_run,Full 174-leaf optimizer,Per-image parameter optimization,navier_optimize_robust_mostrecent.py,174-row CSV with params/scores/paths,Main paper,100% OK; mean score 21.10; median runtime 242s,All leaves successfully optimized with stable convergence,Core data source for all downstream analyses
ablations_objective/,ablation,Objective function ablation,Justify each term in composite objective,navier_optimize_robust_mostrecent.py (modified weights),6 subdirs with mask16/overlay16 pairs,Main paper (Table I),Contour-count removal drops score from 14.80→3.68,Each objective term contributes; topology term most impactful,30-image stratified subset
ablations_search/,ablation,Search strategy ablation,Justify two-phase search design,navier_optimize_robust_mostrecent.py (modified search params),5 subdirs with mask16/overlay16 pairs,Main paper (Table II),No-downscale highest score (16.58) but 34% slower,Full pipeline balances quality and efficiency,30-image stratified subset
objective_surface_traces_fullstudy/,trace_analysis,Full-population trace study,Characterize landscape across all 174 leaves,instrument_full_optimizer_traces.py + reconstruction,Candidate traces + surface/trajectory plots + reports,Appendix/diagnostic,Comprehensive landscape; superseded by 9-leaf for main,Too many plots for main text; provides population-level evidence,SUPERSEDED for main paper use
objective_surface_traces_representative_fullbudget/,trace_analysis,Earlier representative trace study,Pilot representative analysis,instrument_full_optimizer_traces_representative.py,Traces + plots for selected leaves,SUPERSEDED,Replaced by 9-leaf study,Earlier iteration of representative approach,SUPERSEDED
objective_surface_traces_representative_fullbudget_9leaf/,trace_analysis,9-leaf representative trace study,Definitive landscape geometry characterization,instrument_full_optimizer_traces_representative_9leaf.py (SLURM 12783426),833 trace rows; 27+ surface plots; 54+ trajectory plots; reports,Main paper (Figs 9-12),High-score: sharp landscapes (refine +5.77); Low-score: flat (refine +0.56); T×β dominant,Score-tier-dependent landscape geometry confirmed,FINAL — homogeneous dedicated rerun; all traces from single SLURM job
objective_surface_traces_representative_fullbudget_plus/,trace_analysis,Extended representative trace study,Broader population evidence,instrument_full_optimizer_traces_representative_plus.py,Traces + plots; manifold_plots/ and solid_3d_plots/ EMPTY,Appendix if needed,Extended analysis — manifold subdirs never populated,PARTIAL — analysis not fully completed,manifold/solid3d subdirs created but empty
optimization_surface_analysis/,surface_analysis,Production surface cross-sections,Visualize score landscape from production run,analyze_optimization_surfaces.py,~97 heatmap/surface files (PDF/PNG),Appendix,Landscape shape for extreme cases,Superseded by trace-based analysis for main text,97 files
optimization_surface_analysis_codex/,surface_analysis,Codex surface analysis,Alternate rendering,analyze_optimization_surfaces_codex.py,~30 files including HTML,Diagnostic only,Same content — different style,DIAGNOSTIC,Includes interactive HTML
optimizer_full/,placeholder,N/A,N/A,N/A,EMPTY DIRECTORY,Not applicable,N/A,Placeholder never used,EMPTY
optimizer_full_alt/,placeholder,N/A,N/A,N/A,EMPTY DIRECTORY,Not applicable,N/A,Placeholder never used,EMPTY
optimizer_summary/,summary_stats,Optimizer summary statistics,Distribution summary of 174-leaf run,summarize_optimizer.py,17 files: histograms + CSVs,Main paper (Figs 1-3) + Appendix (Figs A1-A2),Score/runtime/parameter distributions documented,Production run fully characterized,FINAL
parameter_shift_3d_analysis/,geometry,3D parameter shift analysis,Visualize global→local shifts,analyze_parameter_shifts_3d.py,25 files: PCA 3D + pairplots + reports,Appendix — largely superseded,Systematic directional parameter shifts confirmed,Superseded by manifold/solid-3D,25 files
parameter_shift_3d_analysis_solid/,geometry,Solid 3D parameter geometry,Volumetric cloud characterization,analyze_parameter_shifts_solid_3d.py,25 files: hulls + ellipsoids + isosurfaces,Main paper (Fig 15) + Appendix (Fig C1),Centroid shift 1.616 std; partial dD separation,Structured parameter organization confirmed,FINAL
parameter_shift_3d_analysis_solid_codex/,geometry,Codex solid 3D analysis,Alternate rendering,analyze_parameter_shifts_solid_3d_codex.py,22 files,Diagnostic only,Same content — different style,DIAGNOSTIC,Includes HTML
parameter_shift_manifold_geometry/,geometry,Manifold geometry analysis,Comprehensive manifold characterization,build_parameter_shift_manifold_geometry.py,plots/ (30) + reports/ (3) + data/ (4),Main paper (Figs 13-14) + Appendix (Fig C2),46.5% variance in 2 PCs; k-NN agreement 0.534,Low-dimensional structured manifold confirmed,FINAL
optimization_manifold_and_solid3d_final/,geometry,Final merged manifold+solid3D,Merged presentation figures,merge script,figures/ (19) + reports + tables,Main paper — provides final figures,Merged view of manifold and volumetric geometry,Definitive geometry figures,FINAL
patch_transfer_morphology_plots/,morphology,Morphology transfer plots,Visualize area/count transfer fidelity,patch transfer analysis script,7 plot files,Main paper (Figs 17-19),Area underestimated; count error reduced 35% by local re-opt,Dice alone insufficient for phenotyping,FINAL
patch_transfer_morphology_montages/,morphology,Morphology montages,Visual verification of transfer,montage generation script,analysis/ + montages/,Supporting,Visual confirmation of morphology results,Supporting evidence,FINAL
patch_transfer_morphology_filled/,morphology,Filled morphology variant,Alternative visualization,filled morphology script,montages/ + plots/ + CSV + TXT,Diagnostic,Alternative rendering of morphology,DIAGNOSTIC,Alternative approach
teacher_student_figures/,distillation,Teacher-student comparison,Visualize distillation quality,teacher-student evaluation script,montage + examples/ + plots/ + summary,Main paper (Figs 5-6; 16),Median Dice 0.682; 12 teacher-empty disagreements,Student approximates teacher well except empty cases,FINAL
patches/,training_data,UNet training patches,Generate training data for student,patchification script,images/ + masks/,Infrastructure,4025 training patches,Training data for UNet student,FINAL
param_predictor/,future_work,Amortized parameter predictor,Direct image→parameter prediction,N/A,EMPTY DIRECTORY,Future work,Not started,Placeholder for future development,NOT STARTED
experiment_summary_master/,documentation,Prior experiment summary,Summarize experiments,prior session,md + tex + figs + notes + pdf + tables,Reference,Prior summary attempt,PARTIAL — prior work,PARTIAL
patch_local_opt_v2.csv,morphology,Patch local optimization,Per-patch local re-optimization,local optimization script,150-row CSV with patch-level params/metrics,Main paper (Table III),Local re-opt improves count error 35%,Patch-level tuning recovers lost fragments,FINAL
patch_transfer_morphology_eval.csv,morphology,Morphology evaluation,Morphology-focused metrics,evaluation script,150-row CSV with area/count metrics,Main paper (Table III),Area frac 0.026 vs teacher 0.169,Severe area underestimation under patchification,FINAL
threshold_sweep.csv,distillation,Threshold sweep,Find optimal probability threshold,threshold sweep script,Multi-row CSV across thresholds,Main paper (Fig 4),Best at thr=0.3; teacher-empty persists,Threshold tuning cannot fix semantic disagreements,FINAL
teacher_student_metrics.csv,distillation,Teacher-student metrics (baseline),Baseline Dice/IoU comparison,evaluation script,174-row CSV,Main paper Section 8.1,Dice mean 0.598; 18 failures,Baseline distillation performance,FINAL
teacher_student_metrics_roi_thr0p30.csv,distillation,Teacher-student metrics (ROI-gated),ROI-gated comparison,evaluation script,174-row CSV,Main paper Section 8.1,Dice mean 0.599; negligible ROI effect,Disagreements not from background leakage,FINAL
failures_dice_lt_0p3.csv,diagnostics,Failure analysis,Identify failure cases,failure analysis script,18-row CSV,Discussion,12/18 failures are teacher-empty,Dominant failure mode is semantic,FINAL
teacher_empty_cases.csv,diagnostics,Teacher-empty cases,Identify teacher-empty disagreements,failure analysis script,12-row CSV,Discussion,12 cases where optimizer inner mask empty,Teacher-student semantic mismatch,FINAL
postprocess_sweep.csv,diagnostics,Post-processing sweep,Test post-processing parameters,postprocess sweep script,Multi-row CSV,Diagnostic,Post-processing parameter sensitivity,DIAGNOSTIC,Not in paper
paper_disagreement_montage_roi_thr0p30.png,visualization,Disagreement montage,Visualize teacher-student disagreements,montage script,Single PNG,Main paper (Fig 6),Visual evidence of semantic mismatch,Key diagnostic figure,FINAL
threshold_sweep_plot.png,visualization,Threshold sweep plot,Visualize threshold sensitivity,plot script,Single PNG,Main paper (Fig 4),Dice vs threshold curve,Threshold sensitivity visualization,FINAL
representative_trace_audit.txt,documentation,Trace audit,Document 9-leaf study provenance,audit script,Audit text,Documentation,All 9 traces from dedicated rerun — no fallback,Provenance verified,DOCUMENTATION
representative_trace_provenance.csv,documentation,Trace provenance,Per-case provenance table,audit script,9-row CSV,Documentation,All cases SLURM 12783426; all safe for main paper,Clean provenance,DOCUMENTATION
